시군명,지점명,도로명주소,지번주소,위도,경도
광명시,광명 시민운동장,경기도 광명시 시청로 20,경기도 광명시 철산동 222-1번지,37.4778909500,126.8646669000
광주시,광주시공설운동장,경기도 광주시 파발로 176,경기도 광주시 경안동 123-4번지,37.4149442900,127.2517695000
광주시,청석공원,,경기도 광주시 쌍령동 36,37.4078678900,127.2642204000
광주시,남종면 공설운동장,,경기도 광주시 남종면 분원리 100,37.4964362500,127.3008883000
광주시,오포공설운동장,경기도 광주시 양촌길 89-12,경기도 광주시 매산동 815-5,37.3710329800,127.2423077000
광주시,퇴촌면 공설운동장,,경기도 광주시 퇴촌면 광동리 666-8,37.4727472400,127.3051917000
광주시,동원대학교 운동장,경기도 광주시 곤지암읍 경충대로 26,경기도 광주시 곤지암읍 신촌리 산1-1번지,37.3280809100,127.4014362000
광주시,도척그린공원,경기도 광주시 도척면 도척로 676,경기도 광주시 도척면 유정리 253번지,37.2947442000,127.3277926000
광주시,도수초등학교,경기도 광주시 퇴촌면 도수길 11,경기도 광주시 퇴촌면 도수리 605-1번지,37.4718157200,127.3182607000
구리시,구리한강시민공원,,경기도 구리시 아천동 9-4,37.5671735400,127.1215276000
구리시,왕숙천둔치공원,,경기도 구리시 사노동 141-18,37.6289655700,127.1437073000
군포시,복합생활 스포츠타운(군포국민체육센터),경기도 군포시 군포로 339,경기도 군포시 부곡동 1226,37.3387593800,126.9364766000
김포시,한국타임즈항공(김포에어로피스),경기도 김포시 대곶면 천호로 210,경기도 김포시 대곶면 대벽리 1389번지,37.6160974000,126.5725184000
김포시,해병 통진비행장(N225),경기도 김포시 월곶면 애기봉로 2,경기도 김포시 월곶면 군하리 36-11,37.7155297300,126.5554528000
김포시,김포종합운동장,경기도 김포시 돌문로15번길 20,경기도 김포시 사우동 290번지,37.6183291300,126.7189333000
남양주시,강북아리수정수센터,경기도 남양주시 고산로 171,경기도 남양주시 삼패동 397번지,37.5974231300,127.1886670000
남양주시,남양주시 체육문화 센터,,경기도 남양주시 이패동 726,37.6071751300,127.1745010000
남양주시,중앙119구조본부,,경기도 남양주시 별내동 2190-15,37.6705264000,127.1101188000
남양주시,한강시민공원 수서지구,,경기도 남양주시 수석동 442,37.5860388800,127.1740336000
동두천시,동두천시종합운동장,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70번지 (종합운동장 주경기장 잔디밭),37.9005889000,127.0709196000
부천시,부천대명초등학교,,경기도 부천시 오정동 127-8번지 부천대명초등학교,37.5282557300,126.7973532000
부천시,부천종합운동장,경기도 부천시 소사로 482,경기도 부천시 춘의동 8번지 외 24필지,37.5031637000,126.7960837000
부천시,부명중학교,경기도 부천시 원미구 조마루로 182,경기도 부천시 원미구 중동 1176,37.4985116300,126.7644392000
성남시,분당구청,,경기도 성남시 분당구 수내동 2,37.3819480300,127.1202378000
성남시,새마을 연수원,경기도 성남시 분당구 새마을로 257,경기도 성남시 분당구 율동 200번지,37.3884295400,127.1560951000
성남시,국군 수도병원(C201),,경기도 성남시 분당구 율동 산13-4,37.3943936400,127.1501528000
성남시,성남시의료원,경기도 성남시 수정구 수정로171번길 10,경기도 성남시 수정구 태평동 3309번지,37.4448498700,127.1390489000
성남시,성남종합운동장,경기도 성남시 중원구 제일로 60,경기도 성남시 중원구 성남동 3110번지,37.4317402500,127.1378459000
성남시,탄천종합운동장,경기도 성남시 분당구 탄천로 215,경기도 성남시 분당구 야탑동 486번지,37.4118468000,127.1205621000
수원시,수원 공군 비행장(RKSW),경기도 수원시 권선구 정조로 409,경기도 수원시 권선구 세류동 1145,37.2455460900,127.0137582000
수원시,아주대학교병원,경기도 수원시 영통구 월드컵로 164,경기도 수원시 영통구 원천동 산26-6번지,37.2793433000,127.0463045000
수원시,만석공원내 축구장,경기도 수원시 장안구 정조로 1067,경기도 수원시 장안구 송죽동 316,37.3006368200,127.0042699000
수원시,수원종합운동장(보조운동장),경기도 수원시 장안구 경수대로 893,경기도 수원시 장안구 조원동 775번지 보조경기장,37.2982494600,127.0089116000
수원시,수원월드컵경기장,경기도 수원시 팔달구 월드컵로 310,경기도 수원시 팔달구 우만동 228번지 주경기장,37.2884986100,127.0385780000
수원시,수원종합운동장 야구장,경기도 수원시 장안구 경수대로 893,경기도 수원시 장안구 조원동 775번지,37.2982494600,127.0089116000
